guid,title,company,sentiment,content,upvotes,downvotes,parent_themes
681cd50ce0407d2029de4fa2,A Real Look Inside BRAC IT: What Many Won’t Say Out Loud,BRAC IT,Negative,"1. Hiring and Promotion Aren’t Always Fair
Despite what the official statement says, many people inside BRAC IT feel that hiring and promotions often depend more on personal connections than merit. Teams, especially under certain leaders, are filled with friends and past colleagues. There’s no proper performance review system, so it’s hard to understand how promotions are actually decided.
2. Religious Bias May Not Be “Official,” But It’s There
BRAC IT claims to be secular, but some leadership members have openly shown atheist views, and a few have even shared anti-Islamic comments in the past. While personal beliefs are private, the way they influence team culture can make others feel uncomfortable or excluded.
3. Speaking Up Isn’t Always Safe or Easy
The company encourages using “proper channels” to raise concerns, but what are those, really? Many employees feel there’s no trusted space to talk about internal problems. Management is aware of these issues but seems unwilling to make changes, and that’s frustrating when people’s careers and livelihoods are at stake. To make things worse, firing people without explanation happens often. We live in constant fear of being let go for no clear reason, and the abuse of power feels like a normal part of the culture.
4. Impact Is Mostly Through BRAC, Not Independent Innovation
BRAC IT often talks about making a difference in Bangladesh, but most of that impact comes from being tied to BRAC. Outside of that, there's little innovation happening. The microfinance project, its main offering- is based on interest, which many employees see as conflicting with ethical or religious values.
5. Criticism Shouldn’t Be Dismissed as Hate
Yes, no one should spread hate or attack others based on faith. But calling all criticism “hate speech” is a way to shut down real issues. People just want honesty, fairness, and a healthy work culture, things every organization should take seriously.",245,45,
681cc3a2e0407d2029de32eb,Counterstatement to Misleading and Discriminatory Review on Deshi Mula,BRAC IT,,"We categorically reject the defamatory and inflammatory remarks presented in the review about BRAC IT on Deshi Mula. The statement not only promotes religious intolerance but also undermines the values of diversity and inclusivity.
Here are the facts:",30,236,
681dc61520329a43b2217b8d,একটি দুঃস্বপ্নের কোম্পানি,Technovicinity Limited,Negative,"⚠️ প্রতারণামূলক কোম্পানি থেকে সাবধান ⚠️
এই কোম্পানিতে কাজ মানেই দাসত্বের চুক্তিতে স্বাক্ষর করা। এখানে কর্মীদের মানুষ হিসেবে নয়, শুধু একটি মেশিন বা পণ্য হিসেবে দেখা হয় — যার কোনো অধিকার নেই, কোনো মর্যাদা নেই।
বেতন নিয়ে নাটক:প্রতিটি মাসে একই গল্প — বেতন সময়মতো আসে না। মাস শেষ হয়ে যায়, তবু কর্মচারীরা তাদের কষ্টার্জিত টাকা পায় না। বেতন চাইলে উল্টো কর্মীদের অপমান করে, হুমকি দেয় এবং মানসিক চাপে ফেলে।
কাজের পরিবেশ বিষাক্ত:২৪/৭ কাজ করানো হয়, কিন্তু না আছে ছুটির সুযোগ, না আছে বিশ্রামের সময়। অফিসে কোনো নির্দিষ্ট নিয়ম নেই — কখন আসবেন, কখন যাবেন, কত ঘণ্টা কাজ করবেন, কিছুই নির্ধারিত নয়। ন্যূনতম মানবিকতার অভাব রয়েছে।
নীতি ও পেশাদারিত্বের সম্পূর্ণ অভাব:এই প্রতিষ্ঠানে কোনো HR সিস্টেম নেই, কোনো টাইম ট্র্যাকিং নেই, কোনো কাজের হিসাব রাখার পদ্ধতি নেই। কর্মীদের কোনো ছুটি বা বিশ্রামের সুযোগ নেই — যেন তারা রোবট। প্রতিষ্ঠানটি যেন একটি অরাজক অন্ধকার গুহা, যেখানে শৃঙ্খলা বা সিস্টেম বলে কিছু নেই।
জালিয়াতি ও বিশ্বাসঘাতকতা:নতুন কর্মী নিয়োগ করে, প্রতিশ্রুতি দেয় চাকরি ও বেতনের, কিন্তু মাস শেষে হাতে থাকে শুধুই প্রতারণা। কাউকে কোনো বেতন দেয় না — শুধু ""আসছে"", ""দিচ্ছি"", ""অফিসে চাপ"" বলে মাস পার করে দেয়।
অর্থনৈতিকভাবে দেউলিয়া, মানসিকভাবে অমানবিক:এই কোম্পানির কোনও ভবিষ্যৎ নেই। আর্থিক দিক থেকে প্রায় দেউলিয়া হয়ে গেছে, কিন্তু এখনো লোক ঠকিয়ে, বিনা পয়সায় কাজ করিয়ে টিকে থাকতে চাইছে। মানবিকতা, মূল্যবোধ এবং পেশাদারিত্বের কোনও চিহ্ন নেই।
শেষ কথাঃএই কোম্পানির মূলনীতি একটাই —👉 “কাজ করে যাও, কিন্তু কিছু আশা কোরো না।”এখানে কাজ করা মানেই আপনার পরিশ্রম, প্রতিভা ও সময় নষ্ট করা।এটি একটি চরম শোষণমুখী ও প্রতারণামূলক প্রতিষ্ঠান, যেখানে চাকরি মানেই আত্মসমর্পণ।
❌ এমন প্রতিষ্ঠানে পা রাখার আগে দশবার ভাবুন।আপনার মূল্যবান জীবন ও সম্মানের সুরক্ষার জন্য এই কোম্পানি থেকে দূরে থাকুন।",6,3,
681dc54f20329a43b2217974,Office politics at it's max,Wedevs,Negative,"You may heard all the golden glorified stories about this company but not it's a total mess. The company owners are busy in foreign travels and their ""islamic kaj karbars"". Meanwhile, the office became a playground of multi group politics. The whole company now runs by the hr and accounts people, and they dnt hesitate a bit to show this.
If u talk to them for ur own need they will through some made up rules and dismis u right there. If u tends to talk back, they will mark you and they will do whatever is necessary to make ur life he'll there. To survive, u must join a group start ""oiling"" the seniors.
The only good thing about this company is the salary and bonus. If u care about ur mental health, never apply here. If u care about money, stay with it.",10,8,
681dc2c220329a43b2217262,Everything is super except salary structure,Shikho Technologies,,"Pros:
1.Very good work life balance
2. Super friendly coworkers
3.hybrid
4. Updated Technology
Cons:
1. No structure salary
2. Low increment
3.Slow Growth",5,0,
681dc1df20329a43b2216f1d,Egotistic and spineless: a combination for imminent disaster,Portonics Ltd,Negative,"Portonics had a good reputation in the industry as having a good work culture and a tenacity to promote quality. These are the reason why I joined the company initially.
This perception, when met with reality, was shattered as the company has fallen too far from grace. I didn't see any of the perceived qualities in my stay there. What I saw though was promotion of clueless individuals to leadership, long term employees being shunned and discarded like baby diapers (takes all the poop but not valued after use) and worst of all a tech leadership so spineless that the only commitment they care about is to please their egotistical leader. The only thing they can defend is their undying will to please the higher up, even if it means to disregard the suggestion of the team for completely irrational reasons.
All of this is a result of an organisational leadership which is split between two individuals whose methods cannot be any different than each other. One is a methodical and strategic leader with a penchant for overseeing every aspect to the finish line, while the other is an individual who cannot do no wrong. Any and everything that he does is deemed as the best and the employees are just hindering his brilliance. Useless ""team building"" session of self gloating is deemed as ""motivational"" for the team from his eyes, while the rest of the team feels it as a waste of time.
Overall majority of the departments are led by individuals who cannot be further from being qualified. The only criteria of being qualified is being favored by the man in charge.
Honestly, the company can be so much better if they just figure out their issues instead of staying in denial and claiming supremacy and also make sure that qualified individuals are leading the departments instead of suck ups and loyalists. We all know how that helped BAL on the long run.Do not recommend this company, even to my enemies. And for those looking for a good work culture, look somewhere else or check if they have actually done something to make things better, instead of claiming it.",3,0,
681dc1da20329a43b2216f00,"Toxic Environment, Puppet Leadership & Career Destroyer",Truck Lagbe Ltd.,Negative,"Pros:
On-time salary
Thereweresome amazing, talented teammates — but sadly,most of them have already leftdue to the toxic environment
Cons:
Misleading leadership: The CEO celebrates growth all year but suddenly claims losses right before appraisals. It’s a pattern to deny employees fair raises.
Frequent layoffs: No job security.
Ex-CTO damaged the team culture: His decisions caused major dysfunction, and instead of accountability, it led to mass resignations and layoffs
Now run by unqualified puppets: Many current leaders in key positions haveno experiencein other tech companies.
No learning or growth: With poor leadership and no direction, you will not gain meaningful experience here. It’s a dead end for any serious tech professional.
Engineers treated like factory workers: No respect for skill, no voice in decision-making.
Even basic office supplies (like tea/coffee) are rationedto save money — a sign of how little the company values its people.
Bottom Line:Truck Lagbe is not a place for growth, innovation, or respect. It’s a place where good people burn out, careers stall, and toxic politics win.Avoid if you care about your future.",4,0,
681dbab820329a43b2215bcb,An organization purely built to secure Robi’s tax rebates; No vision .,RedDot Digital,Negative,"বাংলাদেশের তথাকথিত কর্পোরেট কালচারের অন্যতম ট্র্যাজেডি এই কোম্পানি। আপনি যদি বুয়েটের হন, তাহলে হয়তো খানিকটা স্পেশাল ট্রিটমেন্ট পাবেন নাহলে সার্ভাইভ করাই চ্যালেঞ্জ। রাজনীতি এখানে অফিস কালচারের অংশ, আর LM বা হায়ার ম্যানেজমেন্টের তেল না মারলে প্রোমোশন বা ইনক্রিমেন্ট পাওয়া দিবাস্বপ্নের মতো।
পুরো বছর দিনরাত খেটে মরলেও ইনক্রিমেন্ট হয় ২০০০-৩০০০ টাকা, যদি ভাগ্য ভালো থাকে ৫০০০ টাকা। ""রবির সাবসিডিয়ারি"" নামটা শুধু দেখানোর জন্য, আসলে পুরো জিনিসটাই একটা স্ক্যাম। লোক ধরে রাখতে পারে না, কেউ রিজাইন করলে একটু দরকষাকষি করে হয়তো প্রোমোশন দেবে, কিন্তু ইনক্রিমেন্ট খুবই কম, আর যদি আপনি ছেড়ে দেন, তাহলে একই রোলে নতুন কাউকে দ্বিগুণ স্যালারি দিয়ে হায়ার করতে তাদের কোনো সমস্যা নেই। সবচেয়ে খারাপ দিক? যেসব বড় বড় প্রজেক্টগুলো দিয়ে কোম্পানিটা টিকে আছে, সেগুলাও একে একে রবির কাছে ট্রান্সফার হয়ে যাচ্ছে। কোম্পানিটা আগামী কয়েক বছর টিকবে কিনা, সেটাই এখন সবচেয়ে বড় প্রশ্ন।
and about tax rebate part, Robi includes RedDot’s losses in its consolidated accounts to reflect lower overall revenue and profit, creating an impression of reduced revenue, RedDot’s office in the Hi‑Tech Park enjoys generous tax incentive  (10 yr corporate tax holiday ) which Robi strategically leverages to its advantage, the very vision behind RedDot’s inception seems fundamentally flawed they were never truly focused on growth or becoming a successful tech company.Many mid to senior engineers are leaving within a year of joining, and even long-time employees are quitting. Joining as an entry or mid-level engineer could seriously harm your career.",30,0,
681dba3c20329a43b2215ab9,Unprofessional admin and HR,Sigmative,,"এটা একটা লোকাল কোম্পানি। Exam দিয়ে হায়ার করার পরে ৩ মাস পর আবার আপনাকে exam দিতে হবে। হায়ার করার সময় বলবে এই কোম্পানি অনেক ফ্লেক্সিবল বাট জয়েন করার পর ঠিক তার বিপরীত। অফিস কালচার অনেক টক্সিক। HR department খুবই unprofessional.
ভালো দিক স্যালারি ৩ তারিখ এর মধ্যেই পেয়ে যাবেন।",0,1,
681db90320329a43b22156fa,"No Actual Work, Only Time Waste Part - 2",Kona SL,Negative,"Project Management, HR, Senior Management all are Jokers!
HR
Project Management
Senior Management
Read Part-1 Story",6,6,
